"Job ID","Account Job ID","Service Job","Job Mode","Computer Name","User Name","Login Name","Card ID","Number of Card Issuance","Main Code","Sub Code","Starting Date & Time","Completing Date & Time","Black & White Total Count","Full Color Total Count","2-Color Total Count","Single Color Total Count","12x18(A3W):B/W","12x18(A3W):Full Color","12x18(A3W):2 Color","12x18(A3W):Single Color","A3:B/W","A3:Full Color","A3:2 Color","A3:Single Color","9x12(A4W):B/W","9x12(A4W):Full Color","9x12(A4W):2 Color","9x12(A4W):Single Color","A4:B/W","A4:Full Color","A4:2 Color","A4:Single Color","A5:B/W","A5:Full Color","A5:2 Color","A5:Single Color","B4:B/W","B4:Full Color","B4:2 Color","B4:Single Color","B5:B/W","B5:Full Color","B5:2 Color","B5:Single Color","13x19:B/W","13x19:Full Color","13x19:2 Color","13x19:Single Color","Ledger:B/W","Ledger:Full Color","Ledger:2 Color","Ledger:Single Color","Foolscap:B/W","Foolscap:Full Color","Foolscap:2 Color","Foolscap:Single Color","Legal:B/W","Legal:Full Color","Legal:2 Color","Legal:Single Color","Letter:B/W","Letter:Full Color","Letter:2 Color","Letter:Single Color","Executive:B/W","Executive:Full Color","Executive:2 Color","Executive:Single Color","Invoice:B/W","Invoice:Full Color","Invoice:2 Color","Invoice:Single Color","8 1/2x13 2/5:B/W","8 1/2x13 2/5:Full Color","8 1/2x13 2/5:2 Color","8 1/2x13 2/5:Single Color","8 1/2x13 1/2:B/W","8 1/2x13 1/2:Full Color","8 1/2x13 1/2:2 Color","8 1/2x13 1/2:Single Color","8K:B/W","8K:Full Color","8K:2 Color","8K:Single Color","16K:B/W","16K:Full Color","16K:2 Color","16K:Single Color","Japanese Postcard / A6:B/W","Japanese Postcard / A6:Full Color","Japanese Postcard / A6:2 Color","Japanese Postcard / A6:Single Color","320x450:B/W","320x450:Full Color","320x450:2 Color","320x450:Single Color","225x320:B/W","225x320:Full Color","225x320:2 Color","225x320:Single Color","234x318:B/W","234x318:Full Color","234x318:2 Color","234x318:Single Color","220x312:B/W","220x312:Full Color","220x312:2 Color","220x312:Single Color","318x469:B/W","318x469:Full Color","318x469:2 Color","318x469:Single Color","312x440:B/W","312x440:Full Color","312x440:2 Color","312x440:Single Color","Monarch:B/W","Monarch:Full Color","Monarch:2 Color","Monarch:Single Color","COM-9:B/W","COM-9:Full Color","COM-9:2 Color","COM-9:Single Color","COM-10:B/W","COM-10:Full Color","COM-10:2 Color","COM-10:Single Color","DL:B/W","DL:Full Color","DL:2 Color","DL:Single Color","C4:B/W","C4:Full Color","C4:2 Color","C4:Single Color","C5:B/W","C5:Full Color","C5:2 Color","C5:Single Color","Chokei3:B/W","Chokei3:Full Color","Chokei3:2 Color","Chokei3:Single Color","Chokei4:B/W","Chokei4:Full Color","Chokei4:2 Color","Chokei4:Single Color","C6:B/W","C6:Full Color","C6:2 Color","C6:Single Color","YOKEI-4:B/W","YOKEI-4:Full Color","YOKEI-4:2 Color","YOKEI-4:Single Color","kaku-2:B/W","kaku-2:Full Color","kaku-2:2 Color","kaku-2:Single Color","kaku-3:B/W","kaku-3:Full Color","kaku-3:2 Color","kaku-3:Single Color","Custom(Large):B/W","Custom(Large):Full Color","Custom(Large):2 Color","Custom(Large):Single Color","Custom:B/W","Custom:Full Color","Custom:2 Color","Custom:Single Color","Long Size:B/W","Long Size:Full Color","Long Size:2 Color","Long Size:Single Color","12x18(A3W)","A3","9x12(A4W)","A4","A5","B4","B5","13x19","Ledger","Foolscap","Legal","Letter","Executive","Invoice","8 1/2x13 2/5","8 1/2x13 1/2","8K","16K","Japanese Postcard / A6","320x450","225x320","234x318","220x312","318x469","312x440","Monarch","COM-9","COM-10","DL","C4","C5","Chokei3","Chokei4","C6","YOKEI-4","kaku-2","kaku-3","Custom(Large)","Custom","Long Size","Invalid Paper Count(Black & White)","Invalid Paper Count(Color)","Number of Reserved Sets","Number of Completed Sets","Number of Reserved Pages","Number of Completed Pages","Result","Error Cause","Output","Staple","Staple Count","Punch Count","Punch","Fold","Fold Count","Saddle Fold","Saddle Fold Count","Printer Tone","Direct Address","Sender Name","Sender Address","Transmission Type","Administrative Serial Number","Broadcast number","Entry Order","File Type","Sign","Encrypt","Compression Mode/Compression Ratio","Communication Time","Fax No.","Document Filing","Storing Mode","Color Setting","Special Modes","File Name","Data Size [KB]","Original Size","Original Type","Original Count","Paper Size","Paper Type","Paper Property","Duplex Setup","Resolution","Model Name","Unit Serial Number","Name","Machine Location","Machine ID"
"1","22","No","Copy","N/A","No Authentication","No Authentication","N/A","N/A","N/A","N/A","2022-03-16T17:52:51","2022-03-16T17:53:00","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","OK","N/A","Group","No Staple","0","0","No Punch","No Fold","0","No Saddle Fold","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No filing","No filing","Full Color","Not Set","No filing","0","Letter","Auto","1","Letter","Plain Paper 1","None","1-Side to 1-Side","600x600","MX-3071S","1505815X00","N/A","N/A","N/A"
"2","23","Yes","List Prints","N/A","Service","service","N/A","N/A","N/A","N/A","2022-03-17T11:20:55","2022-03-17T11:21:27","1","1","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","1","1","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","OK","N/A","Sort","No Staple","0","0","No Punch","No Fold","0","No Saddle Fold","0","4bit","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No filing","No filing","Auto","N/A","No filing","0","Letter","Text","N/A","Letter","Plain Paper 1","None","1-Sided","600x600","MX-3071S","1505815X00","N/A","N/A","N/A"
"3","24","Yes","List Prints","N/A","Service","service","N/A","N/A","N/A","N/A","2022-03-17T11:24:20","2022-03-17T11:24:33","0","1","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","1","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","OK","N/A","Sort","No Staple","0","0","No Punch","No Fold","0","No Saddle Fold","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No filing","No filing","Full Color","N/A","No filing","0","Letter","N/A","N/A","Letter","Plain Paper 1","None","1-Sided","600x600","MX-3071S","1505815X00","N/A","N/A","N/A"
"4","25","Yes","List Prints","N/A","Service","service","N/A","N/A","N/A","N/A","2022-03-17T11:25:07","2022-03-17T11:25:19","0","1","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","1","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","OK","N/A","Sort","No Staple","0","0","No Punch","No Fold","0","No Saddle Fold","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No filing","No filing","Full Color","N/A","No filing","0","Letter","N/A","N/A","Letter","Plain Paper 1","None","1-Sided","600x600","MX-3071S","1505815X00","N/A","N/A","N/A"
"5","26","Yes","List Prints","N/A","Service","service","N/A","N/A","N/A","N/A","2022-03-17T11:25:30","2022-03-17T11:26:00","0","1","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","1","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","OK","N/A","Sort","No Staple","0","0","No Punch","No Fold","0","No Saddle Fold","0","4bit","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No filing","No filing","Full Color","N/A","No filing","0","Letter","Text","N/A","Letter","Plain Paper 1","None","1-Sided","600x600","MX-3071S","1505815X00","N/A","N/A","N/A"
"6","27","Yes","List Prints","N/A","Service","service","N/A","N/A","N/A","N/A","2022-03-17T11:26:52","2022-03-17T11:27:22","0","1","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","1","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","OK","N/A","Sort","No Staple","0","0","No Punch","No Fold","0","No Saddle Fold","0","4bit","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No filing","No filing","Full Color","N/A","No filing","0","Letter","Text","N/A","Letter","Plain Paper 1","None","1-Sided","600x600","MX-3071S","1505815X00","N/A","N/A","N/A"
"7","28","Yes","List Prints","N/A","Service","service","N/A","N/A","N/A","N/A","2022-03-17T11:31:38","2022-03-17T11:31:51","0","1","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","1","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","OK","N/A","Sort","No Staple","0","0","No Punch","No Fold","0","No Saddle Fold","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No filing","No filing","Full Color","N/A","No filing","0","Letter","N/A","N/A","Letter","Plain","None","1-Sided","600x600","MX-3071S","1505815X00","N/A","N/A","N/A"
"8","29","Yes","List Prints","N/A","Service","service","N/A","N/A","N/A","N/A","2022-03-17T11:36:56","2022-03-17T11:37:10","0","1","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","1","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","OK","N/A","Sort","No Staple","0","0","No Punch","No Fold","0","No Saddle Fold","0","4bit","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No filing","No filing","Auto","N/A","No filing","0","Letter","Text","N/A","Letter","Plain Paper 1","None","1-Sided","600x600","MX-3071S","1505815X00","N/A","N/A","N/A"
"9","30","No","Copy","N/A","No Authentication","No Authentication","N/A","N/A","N/A","N/A","2022-03-17T11:41:59","2022-03-17T11:43:24","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","40","1","1","OK","N/A","Sort","No Staple","0","0","No Punch","No Fold","0","No Saddle Fold","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No filing","No filing","B/W","Not Set","No filing","0","Letter","Auto","1","Letter","Plain Paper 1","None","1-Side to 1-Side","600x400","MX-3071S","1505815X00","N/A","N/A","N/A"
"10","31","No","Copy","N/A","No Authentication","No Authentication","N/A","N/A","N/A","N/A","2022-03-17T11:42:10","2022-03-17T11:45:43","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","40","1","1","OK","N/A","Sort","No Staple","0","0","No Punch","No Fold","0","No Saddle Fold","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No filing","No filing","B/W","Not Set","No filing","0","Letter","Auto","1","Letter","Plain Paper 1","None","1-Side to 1-Side","600x400","MX-3071S","1505815X00","N/A","N/A","N/A"
